"氏名","ふりがな","氏名ふりがな"
"坂尻まさゆき","さかじりまさゆき","坂尻まさゆき（さかじりまさゆき）"
"かとうぎ桜子","かとうぎさくらこ","かとうぎ桜子（かとうぎさくらこ）"
"石黒たつお","いしぐろたつお","石黒たつお（いしぐろたつお）"
"高口ようこ","こうぐちようこ","高口ようこ（こうぐちようこ）"
"かしままさお","かしままさお","かしままさお（かしままさお）"
"平野まさひろ","へいやまさひろ","平野まさひろ（へいやまさひろ）"
"鈴木たかし","すずきたかし","鈴木たかし（すずきたかし）"
"はしぐち奈保","はしぐちなお","はしぐち奈保（はしぐちなお）"
"岩瀬たけし","いわせたけし","岩瀬たけし（いわせたけし）"
"島田拓","しまだたく","島田拓（しまだたく）"
"富田けんじ","とみたけんじ","富田けんじ（とみたけんじ）"
"土屋としひろ","つちやとしひろ","土屋としひろ（つちやとしひろ）"
"野沢なな","のざわなな","野沢なな（のざわなな）"
"しもだ玲","しもだれい","しもだ玲（しもだれい）"
"きみがき圭子","きみがきけいこ","きみがき圭子（きみがきけいこ）"
"有馬豊","ありまゆたか","有馬豊（ありまゆたか）"
"宮原よしひこ","みやはらよしひこ","宮原よしひこ（みやはらよしひこ）"
"福沢剛","ふくざわつよし","福沢剛（ふくざわつよし）"
"関口和雄","せきぐちかずお","関口和雄（せきぐちかずお）"
"渡辺てる子","わたなべてるこ","渡辺てる子（わたなべてるこ）"
"吉田ゆりこ","よしだゆりこ","吉田ゆりこ（よしだゆりこ）"
"上野ひろみ","うえのひろみ","上野ひろみ（うえのひろみ）"
"小松あゆみ","こまつあゆみ","小松あゆみ（こまつあゆみ）"
"白石けい子","しろいしけいこ","白石けい子（しろいしけいこ）"
"田中ひでかつ","たなかひでかつ","田中ひでかつ（たなかひでかつ）"
"柳沢よしみ","やなぎさわよしみ","柳沢よしみ（やなぎさわよしみ）"
"佐藤力","さとうちから","佐藤力（さとうちから）"
"倉田れいか","くらたれいか","倉田れいか（くらたれいか）"
"柴田さちこ","しばたさちこ","柴田さちこ（しばたさちこ）"
"西野こういち","にしのこういち","西野こういち（にしのこういち）"
"酒井妙子","さかいたえこ","酒井妙子（さかいたえこ）"
"田中よしゆき","たなかよしゆき","田中よしゆき（たなかよしゆき）"
"うすい民男","うすいたみお","うすい民男（うすいたみお）"
"たかはし慎吾","たかはししんご","たかはし慎吾（たかはししんご）"
"星野あつし","ほしのあつし","星野あつし（ほしのあつし）"
"小川こうじ","おがわこうじ","小川こうじ（おがわこうじ）"
"宮崎はるお","みやざきはるお","宮崎はるお（みやざきはるお）"
"のむら説","のむらせつ","のむら説（のむらせつ）"
"沢村信太郎","さわむらしんたろう","沢村信太郎（さわむらしんたろう）"
"かわすみ雅彦","かわすみまさひこ","かわすみ雅彦（かわすみまさひこ）"
"つじ誠心","つじせいしん","つじ誠心（つじせいしん）"
"小泉純二","こいずみじゅんじ","小泉純二（こいずみじゅんじ）"
"小林みつぐ","こばやしみつぐ","小林みつぐ（こばやしみつぐ）"
"かしわざき強","かしわざききょう","かしわざき強（かしわざききょう）"
"西山きよたか","にしやまきよたか","西山きよたか（にしやまきよたか）"
"やない克子","やないかつこ","やない克子（やないかつこ）"
"笠原こうぞう","かさはらこうぞう","笠原こうぞう（かさはらこうぞう）"
"松田亘","まつだこう","松田亘（まつだこう）"
"井上勇一郎","いのうえゆういちろう","井上勇一郎（いのうえゆういちろう）"
"藤井たかし","ふじいたかし","藤井たかし（ふじいたかし）"
"小川けいこ","おがわけいこ","小川けいこ（おがわけいこ）"
"池尻成二","いけじりせいじ","池尻成二（いけじりせいじ）"
"光永勉","みつながつとむ","光永勉（みつながつとむ）"
"村上悦栄","むらかみえつさかえ","村上悦栄（むらかみえつさかえ）"
"内田ひろのり","うちだひろのり","内田ひろのり（うちだひろのり）"
"やくし辰哉","やくしたつや","やくし辰哉（やくしたつや）"
"野村説","のむらせつ","野村説（のむらせつ）"
"橋本けいこ","はしもとけいこ","橋本けいこ（はしもとけいこ）"
"山田かずよし","やまだかずよし","山田かずよし（やまだかずよし）"
"浅沼敏幸","あさぬまとしゆき","浅沼敏幸（あさぬまとしゆき）"
"米沢ちひろ","よねざわちひろ","米沢ちひろ（よねざわちひろ）"
"斉藤静夫","さいとうしずお","斉藤静夫（さいとうしずお）"
"高松さとし","たかまつさとし","高松さとし（たかまつさとし）"
"やくしたつや","やくしたつや","やくしたつや（やくしたつや）"
"藤井とものり","ふじいとものり","藤井とものり（ふじいとものり）"
"おじま紘平","おじまこうへい","おじま紘平（おじまこうへい）"
"とや英津子","とやえつこ","とや英津子（とやえつこ）"
"むらまつ一希","むらまつかずき","むらまつ一希（むらまつかずき）"
"西野幸一","にしのこういち","西野幸一（にしのこういち）"
"宮原義彦","みやはらよしひこ","宮原義彦（みやはらよしひこ）"
"中島力","なかじまちから","中島力（なかじまちから）"
"原ふみこ","はらふみこ","原ふみこ（はらふみこ）"
"松村良一","まつむらりょういち","松村良一（まつむらりょういち）"
"菊地靖枝","きくちやすしえだ","菊地靖枝（きくちやすしえだ）"
"田代孝海","たしろたかみ","田代孝海（たしろたかみ）"
"小野塚栄作","おのづかえいさく","小野塚栄作（おのづかえいさく）"
"さわむら信太郎","さわむらしんたろう","さわむら信太郎（さわむらしんたろう）"
"土屋ひとし","つちやひとし","土屋ひとし（つちやひとし）"
"こうらい啓一郎","こうらいけいいちろう","こうらい啓一郎（こうらいけいいちろう）"
"山田哲丸","やまださとしまる","山田哲丸（やまださとしまる）"
"しばざき幹男","しばざきみきお","しばざき幹男（しばざきみきお）"
"すがた誠","すがたまこと","すがた誠（すがたまこと）"
"北川かつしげ","きたがわかつしげ","北川かつしげ（きたがわかつしげ）"
"橋本牧","はしもとまき","橋本牧（はしもとまき）"
"さんのへ英一","さんのへえいいち","さんのへ英一（さんのへえいいち）"
"薄井民男","うすいたみお","薄井民男（うすいたみお）"
"片野令子","かたのれいこ","片野令子（かたのれいこ）"
"武藤昭夫","むとうあきお","武藤昭夫（むとうあきお）"
"かまた百合子","かまたゆりこ","かまた百合子（かまたゆりこ）"
"本橋正寿","もとはしまさとし","本橋正寿（もとはしまさとし）"
"吉川みさ子","よしかわみさこ","吉川みさ子（よしかわみさこ）"
"岩崎典子","いわさきのりこ","岩崎典子（いわさきのりこ）"
"吉田ゆり子","よしだゆりこ","吉田ゆり子（よしだゆりこ）"
"野沢彰","のざわあきら","野沢彰（のざわあきら）"
"山本ふき子","やまもとふきこ","山本ふき子（やまもとふきこ）"
"山田一義","やまだかずよし","山田一義（やまだかずよし）"
"本橋まさとし","もとはしまさとし","本橋まさとし（もとはしまさとし）"
"藤野かつひこ","ふじのかつひこ","藤野かつひこ（ふじのかつひこ）"
"中山まさみ","なかやままさみ","中山まさみ（なかやままさみ）"
"織田寿美子","おだすみこ","織田寿美子（おだすみこ）"
"秋本和昭","あきもとかずあき","秋本和昭（あきもとかずあき）"
"武田えつこ","たけだえつこ","武田えつこ（たけだえつこ）"
"野崎孝男","のざきたかお","野崎孝男（のざきたかお）"
"西川康彦","にしかわやすひこ","西川康彦（にしかわやすひこ）"
"斉藤宗孝","さいとうむねたか","斉藤宗孝（さいとうむねたか）"
"猿田博文","さるたひろふみ","猿田博文（さるたひろふみ）"
"野島さゆり","のじまさゆり","野島さゆり（のじまさゆり）"
"矢沢重光","やざわしげみつ","矢沢重光（やざわしげみつ）"
"冨塚辰雄","とみつかたつお","冨塚辰雄（とみつかたつお）"
"山下渡","やましたわたり","山下渡（やましたわたり）"
"柴崎幹男","しばさきみきお","柴崎幹男（しばさきみきお）"
"榎本史子","えのもとふみこ","榎本史子（えのもとふみこ）"
"菅田誠","すがたまこと","菅田誠（すがたまこと）"
"津野忠彦","つのただひこ","津野忠彦（つのただひこ）"
"小林加津美","こばやしかつみ","小林加津美（こばやしかつみ）"
"沖山一雄","おきやまかずお","沖山一雄（おきやまかずお）"
"鈴木整","すずきせい","鈴木整（すずきせい）"
"渋谷恵美子","しぶやえみこ","渋谷恵美子（しぶやえみこ）"
"西山清孝","にしやまきよたか","西山清孝（にしやまきよたか）"
"竹内智久","たけうちともひさ","竹内智久（たけうちともひさ）"
"中井八千代","なかいやちよ","中井八千代（なかいやちよ）"
"大沢久子","おおさわひさこ","大沢久子（おおさわひさこ）"
"高橋正人","たかはしまさひと","高橋正人（たかはしまさひと）"
"水埜圭子","みずのけいこ","水埜圭子（みずのけいこ）"
"上野定雄","うえのさだお","上野定雄（うえのさだお）"
"土屋新一","つちやしんいち","土屋新一（つちやしんいち）"
"和田真保","わだしんぼ","和田真保（わだしんぼ）"
"高橋かずみ","たかはしかずみ","高橋かずみ（たかはしかずみ）"
"俵頭功","たわらあたまこう","俵頭功（たわらあたまこう）"
"横田ゆずる","よこたゆずる","横田ゆずる（よこたゆずる）"
"芹沢一二三","せりざわひふみ","芹沢一二三（せりざわひふみ）"
"小又恒男","おまたつねお","小又恒男（おまたつねお）"
"横山晴夫","よこやまはるお","横山晴夫（よこやまはるお）"
"渕上道子","ふちがみみちこ","渕上道子（ふちがみみちこ）"
"高橋哲夫","たかはしてつお","高橋哲夫（たかはしてつお）"
"渡辺耕平","わたなべこうへい","渡辺耕平（わたなべこうへい）"
"栗原昌男","くりはらまさお","栗原昌男（くりはらまさお）"
"山田左千夫","やまださちお","山田左千夫（やまださちお）"
"関口三郎","せきぐちさぶろう","関口三郎（せきぐちさぶろう）"
"椎名貞夫","しいなさだお","椎名貞夫（しいなさだお）"
"大橋静男","おおはししずお","大橋静男（おおはししずお）"
"中山正実","なかやままさみ","中山正実（なかやままさみ）"
"菅原一秀","すがわらかずひで","菅原一秀（すがわらかずひで）"
"白井繁雄","しらいしげお","白井繁雄（しらいしげお）"
"田中保徳","たなかやすのり","田中保徳（たなかやすのり）"
"中村千秋","なかむらせんしゅう","中村千秋（なかむらせんしゅう）"
"岡本和男","おかもとかずお","岡本和男（おかもとかずお）"
"高田千枝子","たかだちえこ","高田千枝子（たかだちえこ）"
"村田稠苗","むらたちゅうなえ","村田稠苗（むらたちゅうなえ）"
"武田悦子","たけだえつこ","武田悦子（たけだえつこ）"
"高安俊忠","たかやすとしただ","高安俊忠（たかやすとしただ）"
"貫井武夫","ぬきいたけお","貫井武夫（ぬきいたけお）"
"豊田三郎","とよださぶろう","豊田三郎（とよださぶろう）"
"吉野信義","よしののぶよし","吉野信義（よしののぶよし）"
"林ともじ","はやしともじ","林ともじ（はやしともじ）"
"中山幹雄","なかやまみきお","中山幹雄（なかやまみきお）"
"西貝浅夫","にしかいあさお","西貝浅夫（にしかいあさお）"
"小林利孝","こばやしとしたか","小林利孝（こばやしとしたか）"
"矢崎久雄","やざきひさお","矢崎久雄（やざきひさお）"
"島津真尚","しまづまことたかし","島津真尚（しまづまことたかし）"
"楠直正","くすのきなおまさ","楠直正（くすのきなおまさ）"
"大野喜三郎","おおのきさぶろう","大野喜三郎（おおのきさぶろう）"
"橋本芳典","はしもとよしのり","橋本芳典（はしもとよしのり）"
"望月泰治","もちづきやすはる","望月泰治（もちづきやすはる）"
"長野信也","ながのしんや","長野信也（ながのしんや）"
"内田仙太郎","うちだせんたろう","内田仙太郎（うちだせんたろう）"
"松村友昭","まつむらともあき","松村友昭（まつむらともあき）"
"梅内正雄","うめうちまさお","梅内正雄（うめうちまさお）"
"高橋正意","たかはしせいい","高橋正意（たかはしせいい）"
"安藤美義","あんどうみよし","安藤美義（あんどうみよし）"
"田中確也","たなかかくや","田中確也（たなかかくや）"
"小池広司","こいけひろし","小池広司（こいけひろし）"
"山崎康雄","やまざきやすお","山崎康雄（やまざきやすお）"
"池田一彦","いけだかずひこ","池田一彦（いけだかずひこ）"
"増島忠之助","ぞうしまちゅうのすけ","増島忠之助（ぞうしまちゅうのすけ）"
"向田英夫","むかいだひでお","向田英夫（むかいだひでお）"
"金子則","かねこのり","金子則（かねこのり）"
"小林あきら","こばやしあきら","小林あきら（こばやしあきら）"
"田中不二枝","たなかふじえだ","田中不二枝（たなかふじえだ）"
"中村諭","なかむらさとし","中村諭（なかむらさとし）"
"早田利夫","はやたとしお","早田利夫（はやたとしお）"
"深野洋子","ふかのようこ","深野洋子（ふかのようこ）"
"田口阿久理","たぐちあぐり","田口阿久理（たぐちあぐり）"
"田中てるみ","たなかてるみ","田中てるみ（たなかてるみ）"
"宇野津定三","うのつていぞう","宇野津定三（うのつていぞう）"
"野島安正","のじまやすまさ","野島安正（のじまやすまさ）"
"中本博之","なかもとひろゆき","中本博之（なかもとひろゆき）"
"小林としたか","こばやしとしたか","小林としたか（こばやしとしたか）"
"武藤芳雄","むとうよしお","武藤芳雄（むとうよしお）"
"野瀬常信","のせつねのぶ","野瀬常信（のせつねのぶ）"
"迫田利行","さこだとしゆき","迫田利行（さこだとしゆき）"
"横田譲","よこたゆずる","横田譲（よこたゆずる）"
"藤代権兵衛","ふじしろごんべえ","藤代権兵衛（ふじしろごんべえ）"
"中本ひろし","なかもとひろし","中本ひろし（なかもとひろし）"
"小坂晴彦","こさかはるひこ","小坂晴彦（こさかはるひこ）"
"越後幹雄","えちごみきお","越後幹雄（えちごみきお）"
"正清太一","まさきよたいち","正清太一（まさきよたいち）"
"田原寿恵","たはらひさえ","田原寿恵（たはらひさえ）"
"横山繁雄","よこやましげお","横山繁雄（よこやましげお）"
"吉田公一","よしだこういち","吉田公一（よしだこういち）"
"武田寛子","たけだひろこ","武田寛子（たけだひろこ）"
"小沢和夫","おざわかずお","小沢和夫（おざわかずお）"
"小林キセ","こばやしきせ","小林キセ（こばやしきせ）"
"小林とよき","こばやしとよき","小林とよき（こばやしとよき）"
"金沢明","かなざわめい","金沢明（かなざわめい）"
"本橋弘三郎","もとはしこうざぶろう","本橋弘三郎（もとはしこうざぶろう）"
"塚田洪憲","つかだこうのり","塚田洪憲（つかだこうのり）"
"小林豊機","こばやしとよき","小林豊機（こばやしとよき）"
"田中英光","たなかひでみつ","田中英光（たなかひでみつ）"
"高橋馨","たかはしかおる","高橋馨（たかはしかおる）"
"高橋威司","たかはしいつかさ","高橋威司（たかはしいつかさ）"
"松本正勝","まつもとまさかつ","松本正勝（まつもとまさかつ）"
"亀田フミエ","かめだふみえ","亀田フミエ（かめだふみえ）"
"小柳信子","おやなぎのぶこ","小柳信子（おやなぎのぶこ）"
"田中正一","たなかしょういち","田中正一（たなかしょういち）"
"木下喜三郎","きのしたきさぶろう","木下喜三郎（きのしたきさぶろう）"
"生田目正重","なまためまさしげ","生田目正重（なまためまさしげ）"
"荒井澄雄","あらいすみお","荒井澄雄（あらいすみお）"
"長谷川安正","はせがわやすまさ","長谷川安正（はせがわやすまさ）"
"尾崎藤開","おざきふじかい","尾崎藤開（おざきふじかい）"
"井口仙蔵","いのくちせんぞう","井口仙蔵（いのくちせんぞう）"
"内田庄作","うちだしょうさく","内田庄作（うちだしょうさく）"
"近藤久男","こんどうひさお","近藤久男（こんどうひさお）"
"遠藤昭五郎","えんどうしょうごろう","遠藤昭五郎（えんどうしょうごろう）"
"榎本喜芳","えのもときよし","榎本喜芳（えのもときよし）"
"橋本銀之助","はしもとぎんのすけ","橋本銀之助（はしもとぎんのすけ）"
"黒木兼行","くろきけんこう","黒木兼行（くろきけんこう）"
"横山倉吉","よこやまくらよし","横山倉吉（よこやまくらよし）"
"田中清一","たなかせいいち","田中清一（たなかせいいち）"
"野口国太郎","のぐちくにたろう","野口国太郎（のぐちくにたろう）"
"田中三吉","たなかさんきち","田中三吉（たなかさんきち）"
"奥山則男","おくやまのりお","奥山則男（おくやまのりお）"
"上野徳次郎","うえのとくじろう","上野徳次郎（うえのとくじろう）"
"大野政吉","おおのまさきち","大野政吉（おおのまさきち）"
"谷口伊次郎","たにぐちいじろう","谷口伊次郎（たにぐちいじろう）"
"田中宇兵衛","たなかうへえ","田中宇兵衛（たなかうへえ）"
"風祭彌平","かざまつりやへい","風祭彌平（かざまつりやへい）"
"稲垣伝一","いながきでんいち","稲垣伝一（いながきでんいち）"
"加藤彌平次","かとうやへいつぎ","加藤彌平次（かとうやへいつぎ）"
"山下新吉","やましたしんきち","山下新吉（やましたしんきち）"
"加藤源蔵","かとうげんぞう","加藤源蔵（かとうげんぞう）"
"菅原世光","すがわらせいこう","菅原世光（すがわらせいこう）"
"高橋久子","たかはしひさこ","高橋久子（たかはしひさこ）"
"加藤泰次","かとうたいじ","加藤泰次（かとうたいじ）"
"田口阿久里","たぐちあくさと","田口阿久里（たぐちあくさと）"
"森虎男","もりとらお","森虎男（もりとらお）"
"桜井米蔵","さくらいこめぐら","桜井米蔵（さくらいこめぐら）"
"矢ケ崎信夫","やけさきのぶお","矢ケ崎信夫（やけさきのぶお）"
"池添清人","いけぞえきよと","池添清人（いけぞえきよと）"
"加藤弥平次","かとうやへいつぎ","加藤弥平次（かとうやへいつぎ）"
"大畑秀夫","おおはたひでお","大畑秀夫（おおはたひでお）"
"並木亀吉","なみきかめきち","並木亀吉（なみきかめきち）"
"豊島斉一","とよしませいいつ","豊島斉一（とよしませいいつ）"
"高山秀蔵","こうざんしゅうぞう","高山秀蔵（こうざんしゅうぞう）"
"林亮海","はやしあきらうみ","林亮海（はやしあきらうみ）"
"原顕三郎","はらけんさぶろう","原顕三郎（はらけんさぶろう）"
"藤井富雄","ふじいとみお","藤井富雄（ふじいとみお）"
"浜野信次","はまのしんじ","浜野信次（はまのしんじ）"
"本橋佐太美","もとはしさたび","本橋佐太美（もとはしさたび）"
"小沢藤助","おざわとうすけ","小沢藤助（おざわとうすけ）"
"矢ヶ崎信夫","やゖさきのぶお","矢ヶ崎信夫（やゖさきのぶお）"
"豊田勝夫","とよだかつお","豊田勝夫（とよだかつお）"
"大戸淳三","おおとじゅんぞう","大戸淳三（おおとじゅんぞう）"
"小峯頼典","こみねらいてん","小峯頼典（こみねらいてん）"
"小沢近松","おざわきんしょう","小沢近松（おざわきんしょう）"
"浅野好治","あさのこうじ","浅野好治（あさのこうじ）"
"一野義純","いちのよしずみ","一野義純（いちのよしずみ）"
"内田健三郎","うちだけんざぶろう","内田健三郎（うちだけんざぶろう）"
"小峰頼典","こみねらいてん","小峰頼典（こみねらいてん）"
"加山峯吉","かやまみねきち","加山峯吉（かやまみねきち）"
"松本茂","まつもとしげる","松本茂（まつもとしげる）"
"罍修一","らいしゅういち","罍修一（らいしゅういち）"
"内田建三郎","うちだけんぞうろう","内田建三郎（うちだけんぞうろう）"
"加山峰吉","かやまみねきち","加山峰吉（かやまみねきち）"
"篠田鎮雄","しのだしずお","篠田鎮雄（しのだしずお）"
"丹下学","たんげがく","丹下学（たんげがく）"
"近藤タヱ","こんどうたゑ","近藤タヱ（こんどうたゑ）"
"永盛勇三郎","えいじょうゆうさぶろう","永盛勇三郎（えいじょうゆうさぶろう）"
"豊田善吉","とよだぜんきち","豊田善吉（とよだぜんきち）"
"相原兼吉","あいはらかねきち","相原兼吉（あいはらかねきち）"
"山瀬鑑","やませかん","山瀬鑑（やませかん）"
"中村旧一","なかむらきゅういち","中村旧一（なかむらきゅういち）"
"近藤タエ","こんどうたえ","近藤タエ（こんどうたえ）"
"今井儀平治","いまいよしひらおさむ","今井儀平治（いまいよしひらおさむ）"
"本橋篤三","もとはしとくぞう","本橋篤三（もとはしとくぞう）"
"櫻井米蔵","さくらいこめぐら","櫻井米蔵（さくらいこめぐら）"
"加藤弥平治","かとうやへいじ","加藤弥平治（かとうやへいじ）"
"大木亀太郎","たいぼくかめたろう","大木亀太郎（たいぼくかめたろう）"
"折井勘十郎","おりいかんじゅうろう","折井勘十郎（おりいかんじゅうろう）"
"小崎恭人","おざきやすひと","小崎恭人（おざきやすひと）"
"須田操","すだみさお","須田操（すだみさお）"
"櫻井鋹造","さくらいぞう","櫻井鋹造（さくらいぞう）"
"松本喜一","まつもときいち","松本喜一（まつもときいち）"
"井口仙藏","いのくちせんぞう","井口仙藏（いのくちせんぞう）"
"森井金雄","もりいかねお","森井金雄（もりいかねお）"
"小口政雄","こぐちまさお","小口政雄（こぐちまさお）"
"萩原賢一","はぎわらけんいち","萩原賢一（はぎわらけんいち）"
"桜井米藏","さくらいこめぐら","桜井米藏（さくらいこめぐら）"
"工藤武治","くどうたけじ","工藤武治（くどうたけじ）"
"櫻井米藏","さくらいこめぐら","櫻井米藏（さくらいこめぐら）"
"小澤藤助","おざわとうすけ","小澤藤助（おざわとうすけ）"
"木野維清","きのいきよし","木野維清（きのいきよし）"
"佐々木亨","ささきとおる","佐々木亨（ささきとおる）"
"栩木功","とちぎこう","栩木功（とちぎこう）"
"桜井鋹造","さくらいぞう","桜井鋹造（さくらいぞう）"
"新井斧太郎","あらいおのたろう","新井斧太郎（あらいおのたろう）"
"加藤豊治","かとうとよじ","加藤豊治（かとうとよじ）"
"梅内政雄","うめうちまさお","梅内政雄（うめうちまさお）"
